;refmc;t+10mcs;t-10mcs;afp+15;afp-15
137;34.41547921;33.37168178;35.9102646;37.6963247;36.74710422
138;34.46120801;33.6913564;37.61106205;37.0926525;34.16362185
139;23.51624047;10;32.71402047;10.37894428;27.19816956
140;24.77405702;10;32.35301503;10.53143523;27.5881364
141;35.00810111;32.51846598;39.47187493;35.99924698;36.79669173
142;35.38768659;37.6985608;35.41049577;40.14590239;34.01094675
143;34.46529436;38.16670283;40.96417119;36.37365125;36.68739049
144;23.83378699;10;29.80580591;10;28.744689
145;23.75455779;10;29.408291;10.35058595;29.10115142
146;34.50450403;28.92464384;35.92810885;33.29569291;31.4886255
147;22.31738986;10;32.77893119;13.2490553;29.80056386
148;28.81801331;32.61977114;36.68163504;31.65038558;36.69276634
149;21.59502837;10;29.89924372;10;27.37286925
150;25.73143744;10.00000013;35.76219673;19.03134597;23.68279404
151;35.94494813;27.11610565;37.58267503;34.48218191;36.35019392
152;23.61356818;12.41619282;31.0162469;19.75772379;26.89881853
153;24.383956;10;29.97873358;10.00000003;28.25060809
154;20.62248063;10;30.08090588;11.99391354;27.91010584
155;26.77600392;17.62916587;32.27020497;20.51717036;35.24977686
156;42.84146244;38.4500289;38.49171759;43.10453656;35.4660646
157;33.61690084;29.34437827;36.33637229;29.05162146;30.91674173
158;36.97009775;38.63670397;42.72905889;43.30615329;36.99912027
159;32.21411252;29.7949491;35.54784199;33.3366295;30.57225998
160;34.87681416;38.92072663;36.52861295;38.49460684;35.61896063
161;24.9113381;10;33.38728152;13.99282412;29.54018494
162;36.14455159;37.1227523;40.91422565;40.63803324;35.79177044
163;17.95011757;10;33.82626222;12.63949051;24.35545294
164;27.5558101;10.62963508;32.75252084;17.28955926;28.58528727
165;20.07940634;10;27.93395065;10.85251066;28.68332312
166;37.95397715;36.76752927;37.69566066;38.9330475;38.43758427
167;33.62001534;19.5500996;33.108457;21.34964916;33.68306715
168;19.64442159;10;30.11973459;10.82307061;29.06683252
169;34.43328209;30.83500926;37.75923892;38.23072258;33.88755512
170;26.39757563;10.85874296;33.77461007;15.86303491;25.1518323
171;25.36912273;18.78853454;34.68000179;17.31230349;30.92781544
172;22.00990625;10;33.55021271;11.44221648;29.60542437
173;38.15215665;38.83558243;36.07339124;36.96835647;34.75799679
174;36.43231844;32.27077764;33.61035524;26.54918993;33.91931966
175;19.29708303;10;34.78783498;10.00000337;29.9538115
176;19.08910159;10;33.51075167;10.00008083;28.98905049
177;28.80438269;23.9813247;34.32736837;31.56328568;33.40350479
178;22.83676251;10;30.91790592;15.55109055;31.70678998
179;17.09130795;10;29.66187485;10.47726928;29.18062891
180;34.42316718;34.06927734;32.5225189;37.23819687;37.97089867
181;35.81680059;37.52344747;39.81959484;36.75416858;36.69991865
182;21.51026414;10;29.96209244;10.00000044;28.19068814
183;16.97117095;10;29.92338887;10.00646977;27.93336891
184;37.98859622;35.20546828;35.35799794;37.95010299;38.92847618
185;36.12323925;34.88858023;37.90874859;37.06451947;35.98263813
186;26.16168582;10.36105102;35.86445707;13.01653776;29.17922212
187;20.01625866;10;29.02113479;10;23.46521104
188;22.73662901;10;32.56856302;10;28.18831727
189;30.08272518;19.67812268;33.2128889;21.89284707;34.47731126
190;21.26799213;10;29.65953419;10.21498811;25.15014222
191;22.49933091;10;30.16224939;10.00001743;22.20647558
192;31.64685105;29.43262686;38.1320401;34.29031278;30.98831041
193;23.52766803;10;31.74696738;12.81956002;25.94622884
194;26.68274802;10;28.29840405;10.00014391;26.87174481
195;23.26347757;10;34.774941;10;29.11003996
196;26.71395052;10.00002668;30.99293915;16.48601613;27.46537665
197;22.67839386;14.21611441;36.30333764;16.75481447;31.37288482
198;19.89789443;10;30.66002729;10.28264209;26.05084459
199;17.98087084;10;27.49796364;10.00000705;24.33874994
200;35.12817692;35.00438339;37.19266442;32.78283663;34.9757561
201;24.51543628;10;34.38404207;10.52310272;28.39709862
202;36.94506273;35.67352836;36.96901557;42.66711942;35.54301971
203;22.68733928;11.24133159;33.36434272;11.98202254;29.89569341
204;27.03746218;10.00000112;29.72226084;16.47361791;28.59972922
205;31.75053664;30.79387801;35.0471209;36.7550394;38.29448687
206;26.60521286;24.0965096;33.1181318;22.91800304;33.8335277
207;22.53086719;10.00014492;33.36527554;16.6764359;27.4437808
208;33.91989059;28.59317306;34.29510244;28.25144693;33.27484128
209;23.14770064;10;34.1841656;17.06598401;28.69890644
210;35.54523529;36.15147617;40.22388268;44.81776456;36.76695688
211;34.754681;33.35466979;36.73523161;39.42182143;31.81859858
212;21.09597664;10;30.2146326;10;28.3891861
213;17.76286195;10;29.6450968;10;30.768239
214;20.09741498;10;34.10642996;12.99088236;31.74826753
215;16.45815766;10;30.24646128;10;30.9478703
216;26.03326189;10.00000614;29.78950801;15.12495017;30.16214244
217;27.76927622;22.79526635;33.1575169;23.35004347;33.92253158
218;22.04863404;10;32.89189856;10.77246745;25.31660518
219;23.13517861;10;31.14385526;10.00000005;24.65856771
220;21.87793913;10;33.84881801;14.71830984;31.0477906
221;37.98782409;37.1381026;36.89616621;40.04672062;39.36168824
222;39.53441703;38.78798947;41.98924697;41.21639764;38.76385868
223;35.96598219;31.33536409;40.10540249;37.20720759;34.21203858
224;23.64193729;12.3131425;39.04289083;15.42843944;30.58082446
225;25.33121791;10.0000058;30.16868422;14.36735742;32.03855006
226;28.12268519;19.04118442;33.99518842;18.93771487;32.15089153
227;20.94084112;10;28.91449291;10;24.30428398
228;19.05726343;10;32.5560358;12.79165438;26.11400601
229;22.43287524;10;31.69993564;11.41170442;29.29240386
230;36.07288854;34.66900298;39.7553224;41.29714962;36.8430038
231;15.62222585;10;36.1165683;10.00000069;27.42852948
232;32.73981841;39.27023963;37.21923593;38.89369845;37.37634632
233;22.7983272;10;29.45952514;11.78474853;27.24037149
234;40.13885247;42.69946821;37.07051227;46.45477019;38.04276738
235;21.18798293;10;30.88864737;13.95760746;27.34602173
236;17.99122421;10;32.1799977;10.0000115;27.52351904
237;16.52919359;10.00000015;29.87545757;10;28.02767455
238;28.38128483;29.80305118;34.03449342;28.84240405;31.36387424
239;19.17490399;10;30.80246826;10;30.15130004
240;22.13396661;10;31.84393381;12.14792297;28.19645364
241;28.14430321;25.0948368;37.47423564;31.97508302;32.49364292
242;17.87214513;10;28.512623;10;25.99191129
243;21.8125396;10;26.04284744;10;23.0245722
244;19.0017882;10;32.35348545;11.19513059;29.74321865
245;37.70886782;37.34966349;37.41921782;35.71806707;36.33472846
246;24.9935114;11.09168738;34.24602877;14.07859859;29.35012668
247;24.7938508;10;38.51321407;15.42459143;27.77992452
248;20.72171431;10;31.98190358;10;26.69600265
249;21.53678234;10;27.72047439;10.00000388;23.51652641
250;18.2057047;10;31.68134291;10;24.3744198
251;20.0199931;10;28.72718888;10;28.70855706
252;19.67550715;10;28.99248473;10.00000011;24.16177791
253;20.75160233;10;29.22871651;10.10723092;27.99874373
254;39.67776057;37.28237746;39.57461853;44.57810082;36.0985296
255;41.29976456;39.35098995;40.49898956;45.05078794;34.51244786
256;21.76463464;10;28.48556137;10.02601557;28.39066468
257;23.29542924;10;31.78856825;14.46206749;25.34000524
258;19.86419003;10;29.25562183;10;26.50310172
259;27.39765669;10;29.68631845;10.00000002;23.45331686
260;19.54808501;10;29.81804362;10;26.68746589
261;22.90303736;10.29989629;37.65984668;16.44819469;25.99812179
262;25.7915742;16.19236668;33.64573212;22.10700919;30.44950833
263;42.85769051;39.08453625;37.38484561;44.32611668;36.78035869
264;22.50529608;10.2864043;35.2369473;14.58645979;29.42569147
265;37.02423552;39.29180122;38.9800606;39.74227396;39.32743124
266;20.64003846;10;27.73378919;10.00012866;25.1626114
267;21.60809506;10;31.23487146;10.00000032;27.61894439
268;21.70167836;10;31.44670876;10.08198748;25.42931795
269;17.82824963;10;32.69631882;10.00000019;25.45559235
270;17.35422942;10;33.00134343;10.00000003;25.42145044
